symbol,exchange,name,cmp,fyers_symbol,pe,mar_cap_cr,div_yld_pct,np_qtr_cr,qtr_profit_var_pct,sales_qtr_cr,qtr_sales_var_pct,roce_pct,debt_eq,last_close,sma20,sma50,sma200,volatility_annual,trend_label,fundamental_score,technical_score,total_score,risk_flag,entry_low,entry_high,stop_loss,target1,target2,risk_per_share
SYNCOMF,NSE,Syncom Formul.,15.02,NSE:SYNCOMF-EQ,22.46,1411.88,0.0,16.84,53.79,121.44,19.66,18.59,0.0,15.02,,,,,No trend (no EOD data),13.0,0.0,13.0,Medium,14.27,15.32,12.02,16.82,18.77,3.0
BAROEXT,BSE,Baroda Extrusion,7.22,BSE:BAROEXT-EQ,29.17,140.35,0.0,1.25,2400.0,44.2,23.95,23.98,0.28,7.22,,,,,No trend (no EOD data),12.0,0.0,12.0,High,6.86,7.36,5.78,8.09,9.03,1.44
BTML,NSE,Bodhi Tree,8.59,NSE:BTML-EQ,23.1,155.05,0.0,3.05,46.93,23.4,67.02,22.43,0.32,8.59,,,,,No trend (no EOD data),12.0,0.0,12.0,High,8.16,8.76,6.87,9.62,10.74,1.72
PREMIERPOLYFILM,NSE,Premier Polyfilm,44.4,nan,17.69,465.06,0.35,8.01,1.91,73.6,4.4,29.86,0.0,44.4,,,,,No trend (no EOD data),12.0,0.0,12.0,High,42.18,45.29,35.52,49.73,55.5,8.88
TUNWAL,NSE,Tunwal E-Motors,41.8,NSE:TUNWAL-EQ,16.1,241.15,0.23,8.5,57.99,144.39,93.99,19.92,0.27,41.8,,,,,No trend (no EOD data),12.0,0.0,12.0,High,39.71,42.64,33.44,46.82,52.25,8.36
ONESOURCEINDUS,NSE,Onesource Indus.,7.9,nan,142.06,410.53,0.0,1.42,173.08,31.32,111.05,42.03,0.0,7.9,,,,,No trend (no EOD data),11.0,0.0,11.0,High,7.5,8.06,6.32,8.85,9.88,1.58
SHRADHAAITECH,NSE,Shradha AI Tech,34.9,nan,18.39,212.73,1.71,2.77,6.95,4.43,25.14,17.45,0.01,34.9,,,,,No trend (no EOD data),11.0,0.0,11.0,High,33.15,35.6,27.92,39.09,43.62,6.98
MAXIMUSINTERNA,NSE,Maximus Interna.,11.25,nan,15.43,153.04,0.0,2.79,30.05,45.84,27.9,15.59,0.35,11.25,,,,,No trend (no EOD data),11.0,0.0,11.0,High,10.69,11.47,9.0,12.6,14.06,2.25
AJANTASOYA,NSE,Ajanta Soya,29.17,nan,10.71,234.77,0.0,5.27,-33.46,346.93,14.16,26.76,0.02,29.17,,,,,No trend (no EOD data),11.0,0.0,11.0,High,27.71,29.75,23.34,32.67,36.46,5.83
TIGERLOGISTICS,NSE,Tiger Logistics,38.57,nan,14.47,407.79,0.0,8.62,14.32,168.73,5.34,26.69,0.32,38.57,,,,,No trend (no EOD data),11.0,0.0,11.0,High,36.64,39.34,30.86,43.2,48.21,7.71
APISINDIA,NSE,Apis India,46.11,nan,27.63,635.17,0.0,7.14,31.98,96.25,19.67,17.1,0.3,46.11,,,,,No trend (no EOD data),11.0,0.0,11.0,Medium,43.8,47.03,36.89,51.64,57.64,9.22
BHATIA,BSE,Bhatia Communic.,27.1,BSE:BHATIA-EQ,25.52,352.72,0.15,3.73,1.91,134.34,25.18,21.81,0.34,27.1,,,,,No trend (no EOD data),11.0,0.0,11.0,High,25.75,27.64,21.68,30.35,33.88,5.42
MINIDIAMONDSI,NSE,Mini Diamonds(I),27.0,nan,76.7,318.17,0.0,2.78,35.61,149.44,43.71,16.19,0.03,27.0,,,,,No trend (no EOD data),9.0,0.0,9.0,High,25.65,27.54,21.6,30.24,33.75,5.4
PARAMOUNTCOMM,NSE,Paramount Comm.,35.83,nan,14.94,1092.93,0.0,13.25,-34.83,428.0,20.26,16.3,0.14,35.83,,,,,No trend (no EOD data),9.0,0.0,9.0,Medium,34.04,36.55,28.66,40.13,44.79,7.17
SHUKRAPHARMA,NSE,Shukra Pharma.,40.34,nan,147.68,1766.38,0.02,2.38,340.74,5.88,5.76,21.8,0.06,40.34,,,,,No trend (no EOD data),9.0,0.0,9.0,Medium,38.32,41.15,32.27,45.18,50.43,8.07
MCLOUD,NSE,Magellanic Cloud,28.18,NSE:MCLOUD-EQ,15.46,1659.99,0.11,27.62,14.43,164.44,4.54,22.91,0.47,28.18,,,,,No trend (no EOD data),9.0,0.0,9.0,High,26.77,28.74,22.54,31.56,35.23,5.64
FCL,NSE,Fineotex Chem,25.37,NSE:FCL-EQ,29.94,2941.67,0.31,26.08,-18.4,137.71,-5.5,23.76,0.0,25.37,,,,,No trend (no EOD data),9.0,0.0,9.0,Low,24.1,25.88,20.3,28.41,31.71,5.07
GEEKAYWIRES,NSE,Geekay Wires,32.92,nan,10.58,344.08,0.99,8.35,-9.24,124.21,0.31,25.36,0.75,32.92,,,,,No trend (no EOD data),9.0,0.0,9.0,High,31.27,33.58,26.34,36.87,41.15,6.58
KRITIKAWIRES,NSE,Kritika Wires,7.75,nan,21.74,206.37,0.0,1.14,6.15,179.63,13.26,15.11,0.4,7.75,,,,,No trend (no EOD data),9.0,0.0,9.0,High,7.36,7.91,6.2,8.68,9.69,1.55
ULTRACABINDIA,NSE,Ultracab India,8.41,nan,12.44,103.41,0.0,1.52,-39.44,57.66,3.8,17.41,0.33,8.41,,,,,No trend (no EOD data),8.0,0.0,8.0,High,7.99,8.58,6.73,9.42,10.51,1.68
NOVAAGRI,NSE,Nova Agritech,41.93,NSE:NOVAAGRI-EQ,14.71,387.94,0.0,6.76,-0.15,92.39,11.73,16.39,0.23,41.93,,,,,No trend (no EOD data),8.0,0.0,8.0,High,39.83,42.77,33.54,46.96,52.41,8.39
STARLINEPSENTER,NSE,Starlineps Enter,3.63,nan,45.01,131.83,0.0,1.57,-51.69,36.86,50.88,29.76,0.26,3.63,,,,,No trend (no EOD data),8.0,0.0,8.0,High,3.45,3.7,2.9,4.07,4.54,0.73
BEARDSELL,NSE,Beardsell,29.73,NSE:BEARDSELL-EQ,12.56,117.25,0.34,2.05,-35.13,71.01,3.68,15.56,0.36,29.73,,,,,No trend (no EOD data),8.0,0.0,8.0,High,28.24,30.32,23.78,33.3,37.16,5.95
